bookID,title,isbn,isbn13,language_code,  num_pages,publication_date,publisher
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,0679734996,9780679734994,eng,249,1991-07-02T00:00:00,Vintage
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,1596670231,9781596670235,eng,138,2006-03-29T00:00:00,Routledge
90,Simply Beautiful Beaded Jewelry,1581807740,9781581807745,en-US,128,2006-03-14T00:00:00,North Light Books
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,0800793617,9780800793616,eng,192,2003-09-01T00:00:00,Chosen Books
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,0871202867,9780871202864,en-US,108,1997-01-28T00:00:00,Association for Supervision & Curriculum Development
93,Heidi (Heidi  #1-2),0753454947,9780753454947,eng,352,2002-11-15T00:00:00,Kingfisher
94,Getting Results with Curriculum Mapping,0871209993,9780871209993,eng,192,2004-11-15T00:00:00,ASCD
96,There's Always Enough: The Miraculous Move of God in Mozambique,1852402873,9781852402877,eng,192,2003-04-28T00:00:00,Sovereign World
98,What to Expect the First Year (What to Expect),0761129588,9780761129585,eng,832,2003-10-16T00:00:00,Workman Publishing Company
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,0972016414,9780972016414,eng,123,2004-05-10T00:00:00,One Hour Entertainment
100,Simply Beautiful Beading: 53 Quick and Easy Projects,1581805632,9781581805635,en-US,128,2004-08-19T00:00:00,North Light Books
103,God Emperor of Dune (Dune Chronicles  #4),0441294677,9780441294671,eng,423,1987-06-15T00:00:00,Ace Books
105,Chapterhouse: Dune (Dune Chronicles #6),0441102670,9780441102679,eng,436,1987-07-01T00:00:00,Ace Books
106,Dune Messiah (Dune Chronicles #2),0441172695,9780441172696,eng,331,1987-07-15T00:00:00,Ace Books
107,Dreamer of Dune: The Biography of Frank Herbert,0765306476,9780765306470,en-US,592,2004-07-01T00:00:00,Tor Books
109,Heretics of Dune (Dune Chronicles  #5),0399128980,9780399128981,eng,480,1984-04-16T00:00:00,Putnam
110,The Road to Dune,0765353709,9780765353702,eng,426,2006-08-29T00:00:00,Tor Science Fiction
117,Heretics of Dune (Dune Chronicles #5),0441328008,9780441328000,eng,471,1987-08-15T00:00:00,Ace Books
119,The Lord of the Rings: The Art of the Fellowship of the Ring,0618212906,9780618212903,eng,192,2002-06-12T00:00:00,Houghton Mifflin Harcourt
122,The Power of One (The Power of One  #1),034541005X,9780345410054,eng,544,1996-09-29T00:00:00,Ballantine Books
123,The Power of One (The Power of One  #1),0385732546,9780385732543,eng,291,2005-09-13T00:00:00,Delacorte Books for Young Readers
129,The Power of One: One Person  One Rule  One Month,0785260056,9780785260059,en-US,256,2004-11-01T00:00:00,Thomas Nelson
130,Power of an Hour: Business and Life Mastery in One Hour a Week,0471780936,9780471780939,eng,205,2006-05-19T00:00:00,Wiley
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,0325001537,9780325001531,eng,240,2000-02-07T00:00:00,Heinemann Drama
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,006076287X,9780060762872,eng,336,2005-05-03T00:00:00,William Morrow Paperbacks
133,eBay for Dummies,0470045299,9780470045299,eng,386,2006-10-30T00:00:00,Wiley
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,0072262788,9780072262780,eng,260,2006-01-24T00:00:00,McGraw-Hill
137,Starting an eBay Business for Dummies,0764569244,9780764569241,eng,384,2004-09-17T00:00:00,Wiley
138,eBay: Top 100 Simplified Tips & Tricks,0471933821,9780471933823,eng,260,2006-06-06T00:00:00,Wiley
139,ebay Timesaving Techniques for Dummies,0764559915,9780764559914,en-US,391,2004-05-31T00:00:00,Wiley
140,eBay Business All-in-One Desk Reference for Dummies,0764584383,9780764584381,en-US,864,2005-04-25T00:00:00,Wiley
141,Ruby Cookbook,0596523696,9780596523695,eng,873,2006-07-29T00:00:00,O'Reilly Media
142,Ruby Ann's Down Home Trailer Park Cookbook,0806523492,9780806523491,eng,240,2005-05-03T00:00:00,Citadel
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,0806525363,9780806525365,eng,206,2005-05-03T00:00:00,Citadel
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,0596527314,9780596527310,eng,514,2007-01-01T00:00:00,O'Reilly Media
151,Anna Karenina,0143035002,9780143035008,eng,838,2004-05-31T00:00:00,Penguin Classics
152,Anna Karenina,0451528611,9780451528612,eng,960,2002-11-05T00:00:00,Signet
153,Anna Karenina,0140449175,9780140449174,eng,837,2003-01-30T00:00:00,Penguin Books
154,CliffsNotes on Tolstoy's Anna Karenina,0822001837,9780822001836,eng,80,1965-11-26T00:00:00,Cliffs Notes
155,Anna Karenina,1593080271,9781593080273,eng,803,2003-07-01T00:00:00,Barnes & Noble Classics
156,Anna Karenina,0486437965,9780486437965,eng,752,2004-11-23T00:00:00,Dover Publications
157,Anna Karenina,1593081774,9781593081775,eng,803,2004-08-26T00:00:00,Barnes & Noble
159,Dinner with Anna Karenina,0778322270,9780778322276,eng,360,2006-01-28T00:00:00,Mira Books
160,Tolstoy: Anna Karenina,0521313252,9780521313254,eng,128,1987-11-26T00:00:00,Cambridge University Press
162,Untouchable,0140183957,9780140183955,eng,160,1990-07-03T00:00:00,Penguin Books
163,The Untouchable,0679767479,9780679767473,eng,367,1998-06-30T00:00:00,Vintage
164,The Untouchables,1568491980,9781568491981,eng,256,1996-02-01T00:00:00,Buccaneer Books
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,0743270797,9780743270793,en-US,320,2005-09-27T00:00:00,Scribner
166,Dalit: The Black Untaouchables of India,0932863051,9780932863058,eng,100,1995-01-28T00:00:00,Clarity Press
168,Growing Up Untouchable in India: A Dalit Autobiography,0742508803,9780742508804,eng,224,2000-12-20T00:00:00,Rowman & Littlefield Publishers
171,The Evidence-Based Social Work Skills Book,0205358624,9780205358625,eng,216,2003-09-22T00:00:00,Pearson
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",1557344035,9781557344038,eng,48,1991-09-28T00:00:00,Teacher Created Resources
180,Wrinkles in Time,0380720442,9780380720446,eng,360,1994-10-01T00:00:00,Harper Perennial
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),0821925326,9780821925324,eng,250,2002-05-01T00:00:00,EMC/Paradigm Publishing
182,Literature Circle Guide: A Wrinkle in Time,043927169X,9780439271691,eng,32,2002-01-01T00:00:00,Teaching Resources
201,Una arruga en el tiempo – A Wrinkle in Time,0606105263,9780606105262,spa,205,1984-06-01T00:00:00,Turtleback Books
204,The Long Shadow (The Morland Dynasty  #6),0751506435,9780751506433,eng,367,1994-06-01T00:00:00,Little  Brown Book Group
205,A Long Shadow (Inspector Ian Rutledge  #8),006078671X,9780060786717,eng,352,2006-01-03T00:00:00,William Morrow
207,Long Way Round: Chasing Shadows Across the World,0743499344,9780743499347,en-US,320,2005-11-01T00:00:00,Atria Books
208,A Shadow in Summer (Long Price Quartet  #1),0765313405,9780765313409,eng,331,2006-03-07T00:00:00,Tor Books
213,New Hope for the Dead (Hoke Mosely #2),1400032490,9781400032495,eng,244,2004-08-10T00:00:00,Vintage Crime/Black Lizard
214,Sideswipe: A Hoke Moseley Novel,1400032482,9781400032488,eng,215,2005-03-08T00:00:00,Vintage Crime/Black Lizard
216,Miami Blues (Hoke Moseley #1),1400032466,9781400032464,eng,191,2004-08-10T00:00:00,Vintage Crime/Black Lizard
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),0679732527,9780679732525,eng,144,1990-10-03T00:00:00,Vintage
231,I am Charlotte Simmons,0312424442,9780312424442,eng,738,2005-08-30T00:00:00,Picador USA
237,Poetry for Young People: Edward Lear,0806930772,9780806930770,eng,48,2001-10-01T00:00:00,Sterling
244,The Puffin Book of Nonsense Verse,0140366601,9780140366600,eng,287,1996-10-03T00:00:00,Puffin
245,Henry Miller on Writing,0811201120,9780811201124,eng,217,1964-02-01T00:00:00,New Directions Publishing
247,Quiet Days in Clichy,080213016X,9780802130167,eng,154,1994-01-13T00:00:00,Grove Press
249,Tropic of Cancer,0802131786,9780802131782,eng,318,1994-01-06T00:00:00,Grove Press
250,Tropic of Capricorn,0802151825,9780802151827,eng,348,1994-01-13T00:00:00,Grove Press
251,Nexus (The Rosy Crucifixion  #3),0802151787,9780802151780,eng,316,1994-01-13T00:00:00,Grove Press
252,Sexus (The Rosy Crucifixion  #1),0802151809,9780802151803,eng,506,1994-01-12T00:00:00,Grove Press
253,The Air-Conditioned Nightmare,0811201066,9780811201063,eng,292,1970-01-17T00:00:00,New Directions
264,The Portrait of a Lady,0141439637,9780141439631,eng,797,2003-09-30T00:00:00,Penguin Classics
269,The Portrait of a Lady,1593080964,9781593080969,eng,635,2004-01-16T00:00:00,Barnes  Noble Classics
277,Writing,1571290532,9781571290533,eng,91,1999-05-06T00:00:00,Brookline Books
278,The War,1565842219,9781565842212,eng,192,1994-08-01T00:00:00,The New Press
280,The Ravishing of Lol Stein,0394743040,9780394743042,en-US,181,1986-03-12T00:00:00,Pantheon
285,Love Letters,1851681825,9781851681822,eng,178,1999-07-01T00:00:00,One World (UK)
288,Kahlil Gibran: His Life and World,156656249X,9781566562492,eng,464,1998-04-01T00:00:00,Interlink Publishing Group
289,The Beloved: Reflections on the Path of the Heart,014019553X,9780140195538,eng,102,1998-01-01T00:00:00,Penguin Books
290,Jesus the Son of Man,0394431243,9780394431246,eng,216,1995-02-21T00:00:00,Knopf
291,The Broken Wings,0806501901,9780806501901,eng,132,2003-03-03T00:00:00,Citadel
292,Sand and Foam,067943920X,9780679439202,eng,100,2011-06-14T00:00:00,Knopf
295,Treasure Island,0753453800,9780753453803,eng,311,2001-09-15T00:00:00,Kingfisher
296,Treasure Island,1402714572,9781402714573,en-US,213,2004-10-01T00:00:00,Sterling Children's Books
297,Treasure Island,1416500294,9781416500292,eng,245,2005-06-01T00:00:00,Simon & Schuster
298,Treasure Island,0689854684,9780689854682,eng,64,2003-07-01T00:00:00,Atheneum Books for Young Readers
299,Treasure Island,0517221144,9780517221143,en-US,272,2002-09-03T00:00:00,Gramercy Books
302,Treasure Island (Great Illustrated Classics),1577658051,9781577658054,eng,232,2006-01-31T00:00:00,Abdo Publishing Company
313,100 Years of Lynchings,0933121180,9780933121188,eng,270,1996-11-22T00:00:00,Black Classic Press
324,Cien años de soledad,0785950109,9780785950103,spa,448,1990-01-01T00:00:00,French & European
330,On Beyond Zebra!,0394800842,9780394800844,eng,64,1955-09-12T00:00:00,Random House Books for Young Readers
332,The Wedding Clause,0821778250,9780821778258,eng,256,2005-06-07T00:00:00,Zebra
333,The Zebra Wall,0060733039,9780060733032,eng,147,2005-02-15T00:00:00,Greenwillow Books
337,El perfume: Historia de un asesino,8432216062,9788432216060,spa,239,2002-06-01T00:00:00,Booket
348,The Door Into Summer,0345413997,9780345413994,eng,304,1997-06-17T00:00:00,Del Rey
350,Stranger in a Strange Land,0441788386,9780441788385,eng,528,1991-10-01T00:00:00,Ace
354,To Sail Beyond the Sunset,0441748600,9780441748600,en-US,434,1988-06-01T00:00:00,Ace Books
355,Job: A Comedy of Justice,0345316509,9780345316509,en-US,439,1985-10-12T00:00:00,Del Rey
356,Time for the Stars (Heinlein's Juveniles  #10),0765314932,9780765314932,eng,256,2006-08-08T00:00:00,Tor Books
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),0671742515,9780671742515,en-US,307,1991-02-15T00:00:00,Pocket Books
359,The Salmon of Doubt (Dirk Gently  #3),0345455290,9780345455291,eng,298,2005-04-26T00:00:00,Del Rey
362,Wish You Were Here: The Official Biography of Douglas Adams,0345476514,9780345476517,eng,368,2005-12-27T00:00:00,Del Rey
367,Douglas Adams's Starship Titanic,0345368436,9780345368430,eng,256,1998-10-27T00:00:00,Ballantine Books
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,1417622857,9781417622856,eng,336,2003-07-01T00:00:00,Turtleback Books
382,The Phantom Tollbooth: A Children's Play in Two Acts,0573650969,9780573650963,eng,72,2011-01-12T00:00:00,Samuel French  Inc.
385,On Bullshit,0691122946,9780691122946,eng,67,2005-01-30T00:00:00,Princeton University Press
386,Another Bullshit Night in Suck City,0393329402,9780393329407,eng,347,2005-09-12T00:00:00,W. W. Norton & Company
394,Lincoln at Gettysburg: The Words That Remade America,0671867423,9780671867423,en-US,317,1993-06-12T00:00:00,Simon & Schuster
397,The Gettysburg Address,0395883970,9780395883976,eng,32,1998-02-02T00:00:00,HMH Books for Young Readers
399,Underworld,0684848155,9780684848150,eng,827,1998-07-09T00:00:00,Scribner
400,Libra,0140156046,9780140156041,eng,480,1991-05-01T00:00:00,Penguin
403,Americana,0140119485,9780140119480,eng,377,1989-07-06T00:00:00,Penguin Books
404,Running Dog,0679722947,9780679722946,eng,256,1989-07-17T00:00:00,Vintage Contemporaries
406,Cosmopolis,0743244257,9780743244251,eng,224,2004-04-06T00:00:00,Scribner
407,Great Jones Street,0140179178,9780140179170,eng,272,1994-01-01T00:00:00,Penguin Books
408,The Names,0679722955,9780679722953,eng,339,1989-07-17T00:00:00,Vintage
409,Against the Day,159420120X,9781594201202,eng,1085,2006-11-21T00:00:00,Penguin Press
410,V.,0060930217,9780060930219,eng,547,2005-07-05T00:00:00,Harper Perennial Modern Classics
411,The Crying of Lot 49,0060931671,9780060931674,eng,152,1999-04-01T00:00:00,Harper Perennial
412,Gravity's Rainbow,0140283382,9780140283389,eng,784,2000-01-01T00:00:00,Penguin Books
413,Mason & Dixon,0312423209,9780312423209,eng,773,2004-01-03T00:00:00,Picador USA
414,Vineland,0141180633,9780141180632,en-US,385,1997-09-01T00:00:00,Penguin Classics
415,Gravity's Rainbow,0143039946,9780143039945,eng,776,2006-10-31T00:00:00,Penguin Books
416,Slow Learner: Early Stories,0316724432,9780316724432,eng,193,1985-04-30T00:00:00,Back Bay Books
418,Been Down So Long It Looks Like Up To Me,0140189300,9780140189308,eng,352,1996-08-29T00:00:00,Penguin Classics
420,The Year of Magical Thinking,140004314X,9781400043149,en-US,227,2005-10-04T00:00:00,Knopf Publishing Group
421,The White Album,0374522219,9780374522216,eng,222,1990-10-01T00:00:00,Farrar Straus Giroux
422,A Book of Common Prayer,0679754865,9780679754862,eng,272,1995-04-11T00:00:00,Vintage International
423,Where I Was From,0679752862,9780679752868,eng,240,2004-09-14T00:00:00,Vintage
424,Slouching Towards Bethlehem,0374521727,9780374521721,eng,238,1990-10-01T00:00:00,Farrar Straus Giroux
425,Democracy,0679754857,9780679754855,en-US,234,1995-04-25T00:00:00,Vintage International
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,0307264874,9780307264879,eng,1122,2006-10-17T00:00:00,Everyman's Library
428,Play It As It Lays,0374529949,9780374529949,eng,231,2005-11-15T00:00:00,Farrar  Straus and Giroux
431,The New York Trilogy,0143039830,9780143039839,eng,308,2006-03-28T00:00:00,Penguin Classics
432,City of Glass (The New York Trilogy  #1),0140097317,9780140097313,eng,203,1987-04-07T00:00:00,Penguin Books
434,Ghosts (The New York Trilogy  #2),014009735X,9780140097351,eng,96,1987-07-07T00:00:00,Penguin Books
435,The Locked Room (The New York Trilogy  #3),0940650762,9780940650763,eng,179,1986-11-01T00:00:00,Sun and Moon Press
444,Pyramids of Montauk: Explorations in Consciousness,0963188925,9780963188922,eng,256,1995-01-01T00:00:00,Sky Books (NY)
446,The Brooklyn Follies,0312426232,9780312426231,eng,306,2006-10-17T00:00:00,Picador
447,Moon Palace,0140115854,9780140115857,eng,320,1990-04-01T00:00:00,Penguin Books
453,The Music of Chance,0140154078,9780140154078,en-US,217,1991-12-01T00:00:00,Penguin Books
454,Travels in the Scriptorium,0805081453,9780805081459,eng,145,2007-01-23T00:00:00,Henry Holt & Company
456,Leviathan,0140178139,9780140178135,eng,275,1993-09-01T00:00:00,Penguin Books
463,The Red Notebook: True Stories,0811214982,9780811214988,eng,104,2002-06-17T00:00:00,New Directions
466,Timbuktu / Leviathan / Moon Palace,2742741461,9782742741465,fre,1075,2002-11-07T00:00:00,Actes Sud
475,Collapse: How Societies Choose to Fail or Succeed,0143036556,9780143036555,eng,608,2005-12-27T00:00:00,Penguin Books Ltd. (London)
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,0446579785,9780446579780,en-US,211,2006-02-01T00:00:00,Business Plus
477,Collapse of Complex Societies,052138673X,9780521386739,eng,262,1990-03-29T00:00:00,Cambridge University Press
478,Bowling Alone: The Collapse and Revival of American Community,0743203046,9780743203043,eng,544,2001-08-07T00:00:00,Simon  Schuster
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,034543871X,9780345438713,eng,272,2002-01-29T00:00:00,Ballantine Books
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,0393318281,9780393318289,eng,576,1998-09-17T00:00:00,W. W. Norton  Company
493,My Inventions,1599869942,9781599869940,eng,88,2006-05-17T00:00:00,Filiquarian Publishing  LLC.
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,0806519606,9780806519609,eng,542,2001-02-01T00:00:00,Citadel
497,Nikola Tesla: A Spark of Genius,0822549204,9780822549208,eng,144,1994-10-01T00:00:00,Lerner Publications
498,Tesla Papers,0932813860,9780932813862,eng,100,2000-12-01T00:00:00,Adventures Unlimited Press
511,Boys of Summer,0373792689,9780373792689,eng,249,2006-06-27T00:00:00,Harlequin Blaze
515,Programming Ruby: The Pragmatic Programmers' Guide,0974514055,9780974514055,en-US,828,2004-10-11T00:00:00,Pragmatic Bookshelf
523,Golding's Lord of the Flies (Cliffs Notes),0764585975,9780764585975,eng,112,2000-06-13T00:00:00,Cliffs Notes
524,Lord of the Flies,0307281701,9780307281708,eng,6,2005-10-11T00:00:00,Listening Library (Audio)
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,0812969707,9780812969702,eng,397,2006-09-12T00:00:00,Random House
534,We Were Not Like Other People,0060255080,9780060255084,eng,216,1989-01-01T00:00:00,HarperCollins Publishers
537,The Lovely Bones,0330485385,9780330485388,en-GB,328,2003-06-01T00:00:00,Picador
538,The Lovely Bones,159413023X,9781594130236,en-US,532,2004-04-01T00:00:00,Large Print Press
539,Lovely in Her Bones (Elizabeth MacPherson  #2),0345360354,9780345360359,eng,224,1990-05-13T00:00:00,Ballantine Books
565,The Zen of CSS Design: Visual Enlightenment for the Web,0321303474,785342303476,en-US,296,2005-02-17T00:00:00,Peachpit Press
570,HTML  XHTML  and CSS (Visual Quickstart Guide),0321430840,9780321430847,en-US,456,2006-08-01T00:00:00,Peachpit Press
576,1000 Record Covers,3822840858,9783822840856,mul,575,2005-05-15T00:00:00,Taschen
597,Killing Yourself to Live: 85% of a True Story,0743264460,9780743264464,eng,245,2006-06-13T00:00:00,Scribner
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,0743236017,9780743236010,eng,272,2004-07-02T00:00:00,Scribner
619,Vice (V  #8),0553572490,9780553572490,eng,419,1996-05-02T00:00:00,Bantam
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),0060589469,9780060589462,eng,540,2006-04-25T00:00:00,HarperTorch
639,Once Upon a Cool Motorcycle Dude,0802789471,9780802789471,eng,32,2005-04-01T00:00:00,Walker & Company
642,Guidebook to Zen and the Art of Motorcycle Maintenance,0688060692,9780688060695,en-GB,408,1990-11-19T00:00:00,William Morrow Paperbacks
643,Motorcycle Basics Techbook,185960515X,9781859605158,eng,222,2002-07-05T00:00:00,Haynes Manuals N. America  Inc.
650,LOGO Lounge: 2 000 International Identities by Leading Designers,1592530877,9781592530878,eng,191,2004-09-01T00:00:00,Rockport Publishers
655,The Death of Ivan Ilych And Other Stories,0451528808,9780451528803,eng,304,2003-04-01T00:00:00,Signet Classics
656,War and Peace,0192833987,9780192833983,eng,1392,1998-06-25T00:00:00,Oxford University Press
658,The Kingdom of God Is Within You,0486451380,9780486451381,eng,352,2006-09-08T00:00:00,Dover Publications
662,Atlas Shrugged,0452011876,9780452011878,eng,1168,1999-08-01T00:00:00,Plume
663,For the New Intellectual: The Philosophy of Ayn Rand,0451163087,9780451163080,eng,224,1963-12-01T00:00:00,Signet Book
664,The Fountainhead,0452286751,9780452286757,en-US,752,2005-04-26T00:00:00,Dutton
665,The Virtue of Selfishness: A New Concept of Egoism,0451163931,9780451163936,eng,176,1964-11-01T00:00:00,Signet
667,Anthem,0452281253,9780452281257,eng,105,1999-12-01T00:00:00,NAL
668,We the Living,0451187849,9780451187840,eng,464,1996-01-01T00:00:00,Signet
669,Capitalism: The Unknown Ideal,0451147952,9780451147950,eng,340,1986-07-15T00:00:00,Signet
670,Letters of Ayn Rand,0452274044,9780452274044,eng,681,1997-02-01T00:00:00,NAL
672,Sailing for Dummies,0471791431,9780471791430,eng,416,2006-06-01T00:00:00,For Dummies
675,Sailing from Byzantium: How a Lost Empire Shaped the World,0553803816,9780553803815,eng,368,2006-07-25T00:00:00,Delacorte Press
